description,vch_type,proposed_family,proposed_canonical_id,transaction_support,dominant_source_category_id,distinct_source_category_ids,source_category_purity,review_status,approved,evidence_note,risk_level,possible_synonym,synonym_review_note
pizza tea,Transfer,Dining,2001,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
bick petrol,Expense,Fuel,2002,6,606,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
petrol corolla,Expense,Fuel,2002,6,54,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
doodh dahi,Expense,Groceries,2009,6,12,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
milk clear,Transfer,Groceries,2009,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
medicines,Transfer,Healthcare,2005,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
mfs salary,Income,Income,2008,6,1,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
adeel bhai cash deposit from abbottabad for saman,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
atm cash,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
atm cash withdrawal bahl,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
atm transaction,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
atm transferred,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
cash back mariam,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
cash withdrawals for exp,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
cash withdrawn,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
jazz cash,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
khud cash diya,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
numair bhai payment to fahad saleem for spare parts for mezan bank and cash,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
tahir transfer to waris enterprises saleem bhai,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
transfer for saving,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
umair cash withdrawal,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
wechat transfer,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
withdrawal dated 7,Transfer,Transfers,2007,6,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
brown bread,Expense,Groceries,2009,6,603,2,0.8333,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
baby medicine,Expense,Healthcare,2005,6,5,2,0.8333,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
pizza express,Expense,Dining,2001,5,601,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
roti in office,Expense,Dining,2001,5,31,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
alto fuel,Expense,Fuel,2002,5,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
bike s petrol,Expense,Fuel,2002,5,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
petrol 2 65ltr,Expense,Fuel,2002,5,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,REVIEW_CANDIDATE,,
